Date,AAPL,AMZN,MSFT,TSLA,SPY
2021-09-09,150.54360961914062,174.20799255371094,286.4349365234375,251.6199951171875,421.86053466796875
2021-09-10,145.56031799316406,173.45750427246094,284.9510192871094,245.42333984375,418.53436279296875
2021-09-13,146.12705993652344,172.85850524902344,286.1844482421875,247.6666717529297,419.60540771484375
2021-09-14,144.72976684570312,172.5,288.8825988769531,248.163330078125,417.3410949707031
2021-09-15,145.6189422607422,173.7895050048828,293.7295837402344,251.94332885742188,420.8270568847656
2021-09-16,145.3844451904297,174.41200256347656,294.1150207519531,252.3300018310547,420.159912109375
2021-09-17,142.71697998046875,173.12600708007812,288.95965576171875,253.163330078125,416.0671081542969
2021-09-20,139.66836547851562,167.7864990234375,283.5923767089844,243.38999938964844,409.1295166015625
2021-09-21,140.14710998535156,167.18150329589844,284.0741882324219,246.4600067138672,408.7429504394531
2021-09-22,142.51174926757812,169.00250244140625,287.71661376953125,250.64666748046875,412.7302551269531
2021-09-23,143.46932983398438,170.8000030517578,288.6609191894531,251.2133331298828,417.74493408203125
2021-09-24,143.55723571777344,171.2760009765625,288.4585266113281,258.1300048828125,418.43304443359375
2021-09-27,142.042724609375,170.2899932861328,283.4670715332031,263.78668212890625,417.23590087890625
2021-09-28,138.66192626953125,165.79800415039062,273.2045593261719,259.1866760253906,408.8278503417969
2021-09-29,139.56088256835938,165.05599975585938,273.6670837402344,260.4366760253906,409.5159912109375
2021-09-30,138.26132202148438,164.2519989013672,271.6627502441406,258.49334716796875,404.5107116699219
2021-10-01,139.3849639892578,164.16299438476562,278.5815734863281,258.40667724609375,409.3179931640625
2021-10-04,135.95535278320312,159.48899841308594,272.80938720703125,260.510009765625,404.03948974609375
2021-10-05,137.88021850585938,161.0500030517578,278.2539367675781,260.1966552734375,408.243408203125
2021-10-06,138.74986267089844,163.10049438476562,282.445556640625,260.9166564941406,409.9401550292969
2021-10-07,140.01036071777344,165.1215057373047,284.1224060058594,264.53668212890625,413.484375
2021-10-08,139.62925720214844,164.43099975585938,284.1224060058594,261.8299865722656,412.7302551269531
2021-10-11,139.54136657714844,162.31500244140625,283.5249328613281,263.9800109863281,409.74212646484375
2021-10-12,138.27110290527344,162.3665008544922,282.2239685058594,268.5733337402344,408.7335510253906
2021-10-13,137.68482971191406,164.21400451660156,285.5292053222656,270.3599853515625,410.2040710449219
2021-10-14,140.4695587158203,164.9929962158203,291.7348937988281,272.7733459472656,417.1039123535156
2021-10-15,141.52487182617188,170.4510040283203,293.1416931152344,281.010009765625,420.2805480957031
2021-10-18,143.1957244873047,172.33700561523438,296.1097717285156,290.03668212890625,421.5247802734375
2021-10-19,145.3551483154297,172.20750427246094,297.0155334472656,288.0899963378906,424.7767639160156
2021-10-20,145.8436737060547,170.7530059814453,296.2253723144531,288.6000061035156,426.4451599121094
2021-10-21,146.0586395263672,171.75050354003906,299.4535217285156,298.0,427.5574035644531
2021-10-22,145.2867431640625,166.77749633789062,297.9117126464844,303.2266540527344,427.11444091796875
